name,slug,homepage URL,summary,visible
A# .NET,a-sharp-dot-net,http://www.asharp.martincarlisle.com/,Ada port to the Microsoft .NET platform.,TRUE
A-0 System,arithmetic-language-version-0,,The first compiler ever developed for an electronic computer.,TRUE
A+,a-plus,,An array programming language descended from the A programming language.,TRUE
ABAP,abap,http://scn.sap.com/community/abap,,TRUE
ABC,abc,,"A structured, imperative high-level programming language intended for teaching and prototyping.",TRUE
ACL2,acl2,http://www.cs.utexas.edu/users/moore/acl2/,,TRUE
Action!,action-bang,http://sourceforge.net/projects/atari-action/,,TRUE
ActionScript,actionscript,http://www.adobe.com/devnet/actionscript.html,,TRUE
Ada,ada,http://www.adaic.org/,,TRUE
Adenine,adenine,http://www.ifcx.org/attach/Adenine/Adenine%20Tutorial%20with%20Wings.html,,TRUE
Agda,agda,http://wiki.portal.chalmers.se/agda/pmwiki.php,,TRUE
Agora,agora,,,TRUE
AIMMS,aimms,http://www.aimms.com/,,TRUE
